Date,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks
2021-09-20,0.40,281,1.43,763,0.53,0.4714,4
2021-09-21,0.41,414,0.98,1217,0.33,0.438,3
2021-09-22,0.36,273,1.33,860,0.42,0.4538,4
2021-09-23,0.33,319,1.04,890,0.37,0.4572,2
2021-09-24,0.38,285,1.33,848,0.45,0.4074,3
2021-09-25,0.14,204,0.68,581,0.24,0.4454,1
2021-09-26,0.06,227,0.25,630,0.09,0.4537,0
2021-09-27,0.05,210,0.25,550,0.09,0.4625,0
2021-09-28,0.18,307,0.57,879,0.20,0.4689,6
2021-09-29,0.17,339,0.49,949,0.17,0.4455,2
2021-09-30,0.33,362,0.92,1042,0.32,0.443,3
2021-10-01,0.12,213,0.55,520,0.22,0.4299,1
2021-10-02,0.13,121,1.10,259,0.52,0.4163,2
2021-10-03,0.17,94,1.78,280,0.60,0.4662,2
2021-10-04,0.02,113,0.20,246,0.09,0.4211,0
2021-10-05,0.03,99,0.26,243,0.11,0.5294,0
2021-10-06,0.22,116,1.92,326,0.68,0.3758,1
2021-10-07,0.03,95,0.32,292,0.10,0.4811,0
2021-10-08,0.14,130,1.10,359,0.40,0.4622,2
2021-10-09,0.03,154,0.17,425,0.06,0.4426,0
2021-10-10,0.02,158,0.15,332,0.07,0.4268,0
2021-10-11,0.08,181,0.44,496,0.16,0.4506,1
2021-10-12,0.02,86,0.26,221,0.10,0.4858,0
2021-10-13,0.12,146,0.84,316,0.39,0.49,1
2021-10-14,0.06,168,0.39,439,0.15,0.4375,1
2021-10-15,0.11,79,1.41,216,0.51,0.4925,2
2021-10-16,0.05,91,0.59,239,0.22,0.4335,0
2021-10-17,0.04,126,0.33,223,0.18,0.5115,2
2021-10-18,0.11,117,0.94,306,0.36,0.4542,1
2021-10-19,0.05,157,0.31,244,0.20,0.5,0
2021-10-20,0.16,120,1.36,327,0.50,0.462,3
2021-10-21,0.02,145,0.16,453,0.05,0.4292,0
2021-10-22,0.42,203,2.09,471,0.90,0.4595,4
2021-10-23,0.27,151,1.76,334,0.80,0.4268,5
2021-10-24,0.08,144,0.56,351,0.23,0.4613,2
2021-10-25,1.00,598,1.67,1680,0.59,0.5188,22
2021-10-26,0.65,355,1.82,911,0.71,0.4812,10
2021-10-27,0.07,328,0.21,856,0.08,0.4596,1
2021-10-28,0.39,245,1.57,653,0.59,0.4115,9
2021-10-29,0.62,456,1.36,1376,0.45,0.4944,6
2021-10-30,0.14,357,0.39,1034,0.14,0.4448,3
2021-10-31,0.02,189,0.13,469,0.05,0.4804,0
2021-11-01,0.20,222,0.90,634,0.32,0.4661,2
2021-11-02,0.27,219,1.25,524,0.52,0.4427,2
2021-11-03,0.07,176,0.42,394,0.19,0.3868,1
2021-11-04,0.05,70,0.67,154,0.31,0.4702,1
2021-11-05,0.03,112,0.26,337,0.09,0.4468,0
2021-11-06,0.01,122,0.10,336,0.04,0.426,0
2021-11-07,0.06,96,0.60,274,0.21,0.4109,2
2021-11-08,0.44,425,1.03,1563,0.28,0.4832,6
2021-11-09,0.37,313,1.19,935,0.40,0.4521,4
2021-11-10,0.22,160,1.37,463,0.47,0.4252,1
2021-11-11,0.14,190,0.72,557,0.25,0.4801,2
2021-11-12,0.12,265,0.45,687,0.17,0.485,2
2021-11-13,0.13,296,0.42,923,0.14,0.4584,3
2021-11-14,0.19,142,1.33,454,0.42,0.4204,2
2021-11-15,0.43,248,1.72,838,0.51,0.5129,3
2021-11-16,0.06,119,0.48,310,0.18,0.4186,0
2021-11-17,0.09,255,0.33,842,0.10,0.5163,1
2021-11-18,0.09,142,0.62,408,0.22,0.415,0
2021-11-19,0.09,151,0.59,478,0.19,0.5435,0
2021-11-20,0.55,206,2.68,687,0.80,0.4731,9
2021-11-21,0.42,197,2.15,652,0.65,0.4754,5
2021-11-22,0.25,266,0.93,824,0.30,0.4699,2
2021-11-23,0.36,263,1.38,751,0.48,0.4751,4
2021-11-24,0.16,410,0.39,908,0.18,0.4691,2
2021-11-25,0.26,217,1.20,656,0.40,0.4173,3
2021-11-26,0.13,162,0.81,482,0.27,0.4161,0
2021-11-27,0.22,322,0.70,1052,0.21,0.4783,4
2021-11-28,0.06,332,0.19,893,0.07,0.3827,1
2021-11-29,0.12,253,0.48,751,0.16,0.4459,3
2021-11-30,0.32,237,1.34,687,0.46,0.5163,3
2021-12-01,0.23,162,1.43,422,0.55,0.5,1
2021-12-02,0.05,214,0.24,613,0.08,0.5149,1
2021-12-03,0.29,307,0.93,909,0.31,0.4705,3
2021-12-04,0.17,448,0.38,1447,0.12,0.47,4
2021-12-05,1.46,734,1.99,2328,0.63,0.4179,20
2021-12-06,0.31,326,0.95,946,0.33,0.439,2
2021-12-07,0.15,345,0.42,867,0.17,0.5098,3
2021-12-08,0.42,412,1.01,1146,0.36,0.4871,8
2021-12-09,0.42,447,0.93,1108,0.38,0.5073,4
2021-12-10,0.22,264,0.85,633,0.35,0.4744,3
2021-12-11,0.07,233,0.28,741,0.09,0.4979,1
2021-12-12,0.33,179,1.84,510,0.65,0.4433,3
2021-12-13,0.41,351,1.17,973,0.42,0.4544,4
2021-12-14,0.35,208,1.71,511,0.69,0.4878,5
2021-12-15,0.25,240,1.04,735,0.34,0.4463,4
2021-12-16,0.11,183,0.61,483,0.23,0.4603,1
2021-12-17,0.18,250,0.72,794,0.23,0.5283,5
2021-12-18,0.20,188,1.08,601,0.34,0.4638,2
2021-12-19,0.25,253,0.98,1032,0.24,0.4757,2
2021-12-20,0.11,202,0.56,544,0.21,0.4463,1
2021-12-21,0.10,176,0.58,387,0.26,0.4786,1
2021-12-22,0.21,203,1.02,564,0.37,0.4842,3
2021-12-23,0.15,174,0.87,496,0.30,0.444,2
2021-12-24,0.17,186,0.93,613,0.28,0.4573,2
2021-12-25,0.06,148,0.41,432,0.14,0.4541,0
2021-12-26,0.05,106,0.44,350,0.13,0.381,0
2021-12-27,0.06,148,0.42,497,0.13,0.4139,1
2021-12-28,0.40,286,1.42,912,0.44,0.4465,5
